target,vp,vp_lat,vp_lon,radius,pop_iata,pop_lat,pop_lon
35.244.169.0,nl-ams-manycast,52.378502,4.89998,96.64362132894736,AMX,52.3086013794,4.7638897896
35.244.169.0,gb-lhr-manycast,51.50853,-0.12574,172.57789523026312,BQH,51.3307991028,0.0324999988
37.16.15.0,pl-waw-manycast,52.22977,21.01178,66.0726798881579,WAW,52.1656990051,20.9671001434
37.16.15.0,fr-cdg-manycast,48.916544,2.384315,78.89275210526316,PAR,49.0127983093,2.5499999523
37.16.15.0,gb-lhr-manycast,51.50853,-0.12574,190.32876445394737,BQH,51.3307991028,0.0324999988
45.131.6.0,gb-man-manycast,55.71667,-2.26667,58.18340467763157,NoCity,55.71667,-2.26667
45.131.6.0,pl-waw-manycast,52.22977,21.01178,68.04499869078947,WAW,52.1656990051,20.9671001434
45.131.6.0,fr-cdg-manycast,48.916544,2.384315,109.46369354605264,PAR,49.0127983093,2.5499999523
45.131.6.0,gb-lhr-manycast,51.50853,-0.12574,212.02427128289472,BQH,51.3307991028,0.0324999988
46.253.129.1,gb-lhr-manycast,51.50853,-0.12574,26.626303835526315,BQH,51.3307991028,0.0324999988
46.253.129.1,gb-man-manycast,55.71667,-2.26667,35.50173844736841,NoCity,55.71667,-2.26667
46.253.129.1,fr-cdg-manycast,48.916544,2.384315,68.04499869078947,PAR,49.0127983093,2.5499999523
52.223.124.0,fr-cdg-manycast,48.916544,2.384315,47.33565126315789,PAR,49.0127983093,2.5499999523
52.223.124.0,pl-waw-manycast,52.22977,21.01178,64.10036108552632,WAW,52.1656990051,20.9671001434
52.223.124.0,gb-lhr-manycast,51.50853,-0.12574,149.896229,BQH,51.3307991028,0.0324999988
65.22.88.1,fr-cdg-manycast,48.916544,2.384315,48.32181066447368,PAR,49.0127983093,2.5499999523
65.22.88.1,gb-lhr-manycast,51.50853,-0.12574,93.685143125,BQH,51.3307991028,0.0324999988
77.83.143.0,fr-cdg-manycast,48.916544,2.384315,32.54326024342105,PAR,49.0127983093,2.5499999523
77.83.143.0,pl-waw-manycast,52.22977,21.01178,57.19724527631579,WAW,52.1656990051,20.9671001434
77.83.143.0,gb-lhr-manycast,51.50853,-0.12574,78.89275210526316,BQH,51.3307991028,0.0324999988
77.83.143.0,nl-ams-manycast,52.378502,4.89998,192.30108325657892,BRU,50.9014015198,4.4844398499
